term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,outcome,type,year,coef,lci,uci
(Intercept),-0.4968766057970397,0.011295917013051897,-43.98727480229558,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.275977411657553e-4,soc,unadjusted,Y1,0.6084280556743533,0.5951054851742797,0.6220488773066231
historical_hba1c_group7-9,0.0027288469445514384,0.005895109775194304,0.4629001068027601,0.6434369499814039,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,3.4752319261591436e-5,soc,unadjusted,Y1,1.0027325736364612,0.9912132627931249,1.0143857552897293
historical_hba1c_group>=9,-0.0762902249560144,0.007052479109586288,-10.817504564077996,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,4.9737461591151005e-5,soc,unadjusted,Y1,0.9265472603959322,0.9138278401106521,0.9394437202123935
historical_hba1c_groupUnavailable,-0.6361399132077462,0.01099506802828596,-57.856841955976066,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.2089152094663612e-4,soc,unadjusted,Y1,0.529331752024044,0.5180465134011562,0.5408628307548777
raceethNHBlack,0.04431695333097317,0.006323666358286583,7.008110614959924,2.4305002455093927e-12,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,3.9988756210925494e-5,soc,unadjusted,Y1,1.0453136180213374,1.0324375577499187,1.0583502622688703
raceethHispanic,1.600835685222986e-4,0.00844805020252684,0.01894917344056704,0.9848816885818028,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,7.136955222441377e-5,soc,unadjusted,Y1,1.0001600963825805,0.9837356220303062,1.016858794166138
raceethNHOther,0.03471702618457698,0.008768478240918552,3.9592988920891883,7.5220616461813e-5,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,7.68862106614621e-5,soc,unadjusted,Y1,1.035326696998586,1.0176853753659232,1.053273826532669
regionUrban,0.06992099968193712,0.011006940942483957,6.35244615623039,2.1279888962055793e-10,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.2115274891132962e-4,soc,unadjusted,Y1,1.072423456113473,1.0495351957364898,1.0958108636035904
(Intercept),-0.6482231491282041,0.013123067049632047,-49.39570503424193,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.7221488878913836e-4,soc,unadjusted,Y2,0.5229741988440973,0.5096941900090223,0.5366002163999242
historical_hba1c_group7-9,0.022553699310085763,0.006956564815416875,3.242074200200523,0.0011870088469350115,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,4.839379403109602e-5,soc,unadjusted,Y2,1.02280995687881,1.008958723562797,1.0368513433298265
historical_hba1c_group>=9,-0.07538235841196432,0.008307115261915387,-9.074432704402282,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,6.900816397474756e-5,soc,unadjusted,Y2,0.9273888236108677,0.9124113906976867,0.9426121143672935
historical_hba1c_groupUnavailable,-0.5756323855730996,0.01188640249432929,-48.42780528824593,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.4128656425719757e-4,soc,unadjusted,Y2,0.5623491348583729,0.5493993247103378,0.575604183064279
raceethNHBlack,0.04562142234951932,0.0073034491179091166,6.246558525019223,4.21228607550006e-10,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,5.3340369017887456e-5,soc,unadjusted,Y2,1.0466780870109862,1.0318018698812494,1.061768785081833
raceethHispanic,-0.014005717208630112,0.00983515968813151,-1.424045735173104,0.15443626592886095,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,9.673036609104709e-5,soc,unadjusted,Y2,0.9860919065535877,0.9672651426147411,1.0052851129752585
raceethNHOther,0.02731810209460964,0.010220577539766568,2.672853073940239,0.0075221041156774415,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.0446020524638083e-4,soc,unadjusted,Y2,1.0276946625981258,1.007312375915091,1.0484893711081553
regionUrban,0.09027252726356194,0.012711701680791422,7.101529718870938,1.241673430740775e-12,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.6158735962143548e-4,soc,unadjusted,Y2,1.0944725166650688,1.067540700119205,1.1220837665499885
(Intercept),-0.8904498154336493,0.016855611162556825,-52.82809426760513,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,2.8411162766331025e-4,soc,unadjusted,BOTH,0.41047107499540714,0.3971318993444042,0.4242582972710758
historical_hba1c_group7-9,0.006158668779522836,0.008811356301679882,0.6989467419843967,0.48458689470891914,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,7.763999987515376e-5,soc,unadjusted,BOTH,1.0061776723723386,0.9889499161201809,1.0237055404710576
historical_hba1c_group>=9,-0.15094330663723696,0.010738169042783163,-14.056707995175577,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.1530827439138667e-4,soc,unadjusted,BOTH,0.859896447698567,0.8419874936805607,0.8781863226167366
historical_hba1c_groupUnavailable,-0.8664982916883512,0.01639189122155796,-52.86139835705884,0,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,2.6869409781938897e-4,soc,unadjusted,BOTH,0.4204211669543876,0.40712850817180346,0.4341478282053905
raceethNHBlack,0.04250666742007937,0.009422580532384922,4.511149283785493,6.4548500025018996e-6,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,8.878502388927933e-5,soc,unadjusted,BOTH,1.043423013290036,1.0243296612036275,1.062872262611195
raceethHispanic,-0.054906789688944385,0.0129212985343029,-4.249324442367788,2.1460456424815533e-5,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.6695995581257828e-4,soc,unadjusted,BOTH,0.9465733742402701,0.9229017146523604,0.9708521921623225
