term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,outcome,type,year,coef,lci,uci
regionUrban,0.05791575555341583,0.06284414126473911,0.9215776425273787,0.35675108559923596,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,0.003949386091302486,hc,unadjusted,Y1,1.0596257243672973,0.9368250179276282,1.1985233680295018
svi_ge75,0.03433452670702999,0.031907297933367114,1.0760712730589637,0.28190031169905416,8.41393910619269e-6,52662.52116459185,102917,0.009128637325373987,0.009091007051485625,10,0.009174411692878817,0.0010088203283918414,hc,unadjusted,Y1,1.0349307608054144,0.97219023636927,1.1017202596698794
regionUrban,-0.04275575793514501,0.028835042103440275,-1.4827707822227827,0.13813838405333811,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,8.314596531071734e-4,hc,unadjusted,Y2,0.9581453808969272,0.9054959806762277,1.0138560419103355
svi_ge75,0.044120955370804,0.015327697857951524,2.8785115533782166,0.0039971428847414,1.9025960313179968e-6,53702.104724589924,102917,0.00894501535561027,0.008908106689352447,10,0.00898817430500392,2.328454659902019e-4,hc,unadjusted,Y2,1.0451087587611225,1.014178238737206,1.0769826012035333
regionUrban,0.05740628792489117,0.0781512220623736,0.734553937993118,0.4626128734011985,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,0.00610761350984243,hc,unadjusted,BOTH,1.0590860168558067,0.9086728893067357,1.234397112865623
svi_ge75,0.020427364591773706,0.03976408898433962,0.5137138838970675,0.6074542049489293,1.31056781744505e-5,52514.233752681066,102917,0.009155116662590569,0.009117381140436984,10,0.009201272650165624,0.0015667665267625841,hc,unadjusted,BOTH,1.0206374311342752,0.9441122133589118,1.1033654168356375
regionUrban,0.03497600520174088,0.06540504478288241,0.5347600528039801,0.592816957714962,3.545628350459277e-6,101774.49576689924,102836,9.3135682394158e-4,9.117240304946333e-4,10,9.125560297561349e-4,0.004273919691865348,hc,adjusted,Y1,1.0355948596117643,0.9109949887389504,1.1772366769424973
svi_ge75,0.005658361480694015,0.03615836381473752,0.15648831649809788,0.8756490940605972,1.6233242734311934e-5,32695.552831336347,102836,0.013718119305422603,0.013657789894809669,10,0.013846908055727544,0.0012895707067511765,hc,adjusted,Y1,1.005674400244789,0.936868796529973,1.0795332313913386
regionUrban,-0.02692794625080758,0.029290318263094178,-0.9193463180882132,0.3579166388016266,7.393724640648372e-7,101693.25960958244,102836,0.00096764653814249005,9.479987751852243e-4,10,9.48898329639498e-4,8.571094342428769e-4,hc,adjusted,Y2,0.9734313783778885,0.919121487496331,1.0309503817518557
svi_ge75,0.020860283035561547,0.016840586510255964,1.2386910053790334,0.2154638287153281,1.4587719231300522e-6,74980.59062696506,102836,0.005684556927878092,0.005658035339451972,10,0.005690230866785886,2.8200070489397205e-4,hc,adjusted,Y2,1.0210793795595432,0.9879262136886227,1.0553451107132097
regionUrban,0.05932926316156391,0.08119306027749078,0.7307184007943079,0.46495284940492243,4.261686249343159e-6,102170.96427395397,102836,7.306698030435851e-4,7.111092643518239e-4,10,7.116153005847243e-4,0.006587625182349973,hc,adjusted,BOTH,1.0611245724575107,0.905010136328168,1.2441687811824005
svi_ge75,0.025490447114388044,0.04520427644543357,0.5638945940249206,0.5728287804169336,2.0239170761232994e-5,43439.592394995474,102836,0.010940514133036431,0.010894977945275747,10,0.011014985974535835,0.002021163521117824,hc,adjusted,BOTH,1.0258181067006056,0.9388402568761736,1.12085392624318
regionUrban,0.0961033377483941,0.01123461346712702,8.554218445485173,0,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,1.262165397557518e-4,soc,unadjusted,Y1,1.1008728198347115,1.076896717613939,1.1253827276361847
svi_ge75,0.006281465962539513,0.005310120147706846,1.1829235097914197,0.23684244430698498,7.11481152201418e-8,94341.77222505969,102917,0.002796679359391358,0.002775539354765212,10,0.0027832644146828815,2.8119113056340023e-5,soc,unadjusted,Y1,1.0063012357425818,0.9958821322379428,1.0168293458397946
regionUrban,0.11339729145135413,0.012889813574723696,8.797434562880007,0,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,1.6614729399113125e-4,soc,unadjusted,Y2,1.120076841517543,1.0921336466158609,1.1487349875094448
svi_ge75,-0.00711049865207974,0.006110119125539803,-1.1637250446326703,0.2445392300543876,1.9890809599973215e-7,73581.37080614883,102917,0.005887670453598103,0.005860650059483176,10,0.005895199762320887,3.7114756822687586e-5,soc,unadjusted,Y2,0.9929147211329759,0.9810946585869434,1.0048771897938202
