iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,HR,lci,uci,exposure,modifier
Contrast 2,1.6252987664130957e-7,0.001143770191319663,0.18016348569275478,98556,0.0011439489741839684,1.562856983485427e-4,3695089.039446968,368471611.7676957,98512.25282043529,0.11387296671626097,0.2464540046692486,0.033822314737225904,"1.20 	 (1.12, 1.28)",1.1206097611041321,1.2794803317431183,historical_hba1c_group7-9,raceethNHWhite
Contrast 2,9.503100328578515e-7,0.0014045927981529201,0.4656881431326486,98556,0.0014056381391890638,7.43677200411417e-4,164917.88423804168,16273222.975530127,97888.31670583534,0.39220547965529123,0.539170806610006,0.03749184096825686,"1.59 	 (1.48, 1.71)",1.4802418397381025,1.7145845504048076,historical_hba1c_group>=9,raceethNHWhite
Contrast 2,3.9967439431831544e-7,0.0015961935790283805,0.2902308479769371,98556,0.0015966332208621305,2.753555594394777e-4,1192901.7760221835,118701118.37082665,98445.14910292212,0.21191481580742844,0.36854688014644577,0.03995789309838709,"1.34 	 (1.24, 1.45)",1.2360425893038456,1.4456324104992933,historical_hba1c_groupUnavailable,raceethNHWhite
Contrast 2,1.2930470527647803e-7,0.0031775757311330007,0.22742441458089557,98556,0.0031777179663088047,4.476016352368248e-5,44958210.21715753,4492201002.989202,98533.35589945153,0.11693879235821349,0.3379100368035777,0.056371251239517514,"1.26 	 (1.12, 1.40)",1.124050627096803,1.4020143680376564,historical_hba1c_group7-9,raceethNHBlack
Contrast 2,1.2100851862539453e-6,0.0029717454881727436,0.5347134772988595,98556,0.0029730765818776228,4.4771591589433537e-4,452616.45625172916,44899080.03583389,98294.21552417058,0.4278446236706279,0.6415823309270912,0.05452592577735497,"1.71 	 (1.53, 1.90)",1.5339477232837957,1.8994841150827209,historical_hba1c_group>=9,raceethNHBlack
Contrast 2,5.83901801176682e-7,0.0036485364551755795,0.43529071729760077,98556,0.003649178747156874,1.7601000822301972e-4,2914356.107729123,290514479.56604034,98503.24325661077,0.31689236425431494,0.5536890703408867,0.06040843274872205,"1.55 	 (1.37, 1.74)",1.3728547957229456,1.7396589188135037,historical_hba1c_groupUnavailable,raceethNHBlack
Contrast 2,6.61183526845737e-7,0.0069319750844788015,0.14518602679188025,98556,0.006932702386358331,1.0490885645999208e-4,8192905.02472967,817745575.914567,98531.78715218553,-0.018006163009469667,0.30837821659323017,0.08326285117841169,"1.16 	 (0.98, 1.36)",0.98215497930921,1.3612157259644972,historical_hba1c_group7-9,raceethHispanic
Contrast 2,1.7105018784313249e-6,0.006414362534163477,0.47713030440482174,98556,0.006416244086229751,2.9324820580198285e-4,1052110.056520557,104657843.60457304,98432.43478997807,0.3201343235299139,0.6341262852797296,0.08010146119909269,"1.61 	 (1.38, 1.89)",1.3773127574225892,1.8853741424815889,historical_hba1c_group>=9,raceethHispanic
Contrast 2,1.3127093282356794e-6,0.008097080854734963,0.2992108074450711,98556,0.008098524834996023,1.7830164017271382e-4,2840040.631465553,283094761.4612839,98502.14220769687,0.1228301114264102,0.475591503463732,0.08999180426569979,"1.35 	 (1.13, 1.61)",1.1306923129252606,1.6089656248118651,historical_hba1c_groupUnavailable,raceethHispanic
Contrast 2,1.7045649951360876e-7,0.007986672565379238,0.22047386740031327,98556,0.007986860067528703,2.347632835427736e-5,163367499.27178705,16329848630.187172,98533.35589945153,0.04531338652461467,0.39563434827601185,0.0893692344575509,"1.25 	 (1.05, 1.49)",1.0463557223155306,1.485326106192943,historical_hba1c_group7-9,raceethNHOther
Contrast 2,2.01931988436041e-6,0.008341378457734331,0.6594800864096004,98556,0.008343599709607128,2.662222482028734e-4,1275946.5038203846,126985407.25110623,98451.37453835791,0.4804504930128313,0.8385096798063695,0.09134330686813966,"1.93 	 (1.62, 2.31)",1.6168025964301895,2.312917419410711,historical_hba1c_group>=9,raceethNHOther
Contrast 2,1.2879926266584952e-6,0.009924355860913989,0.45820342791995455,98556,0.009925772652803313,1.427387004400311e-4,4428678.438981542,441732173.9220868,98517.95558031014,0.2629357984514008,0.6534710573885082,0.09962817198364785,"1.58 	 (1.30, 1.92)",1.30074320654275,1.9222013339716277,historical_hba1c_groupUnavailable,raceethNHOther
Contrast 2,2.5208917375551376e-6,0.002966190051860814,0.11295862694524487,98556,0.0029689630327721247,9.339897064065213e-4,104912.94833747412,10317116.384691613,97531.15782184558,0.006163721137079789,0.21975353275340995,0.05448819168197936,"1.12 	 (1.01, 1.25)",1.006182755954547,1.245769651330597,historical_hba1c_group<7,raceethNHBlack
Contrast 2,2.0128328877735215e-6,0.005572591276025954,0.2109864468334222,98556,0.005574805392202504,3.971647476067531e-4,574645.9403470677,57055973.84855241,98345.05184931113,0.06464647875864798,0.35732641490819633,0.07466461941376588,"1.23 	 (1.07, 1.43)",1.0667818276786245,1.429502404603951,historical_hba1c_group<7,raceethHispanic
Contrast 2,1.4935383821436865e-6,0.006203586174862195,0.009980807174720923,98556,0.006205229067082553,2.647593187289823e-4,1290052.072696029,128392601.78956923,98452.35507508513,-0.14441197887307336,0.16437359322251519,0.07877327635107323,"1.01 	 (0.87, 1.18)",0.8655310940725498,1.1786545702085542,historical_hba1c_group<7,raceethNHOther
