term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,model,type,coef,lci,uci,raceeth,hba1c,iv,B_D,W_D,theta_D,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,coef_ci,exposure,modifier
historical_hba1c_group7-9,0.19041864577356968,0.02638208863030204,7.217724435769574,5.582201367815287e-13,1.3880824845112332e-7,12876.288258074595,12882,3.74630268146891e-4,2.1937625042230585e-4,10,2.1942438692155991e-4,6.95861911423816e-4,Main,adjusted,1.2097559508744231,1.1487906174973272,1.2739566622370022,Overall [Ref: <7%],7-9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_hba1c_group>=9,0.49991101378849423,0.02816016417100831,17.75241830099722,0,1.0815868788855884e-6,12819.442121096798,12882,0.00165606193212128,0.00150031941893212,10,0.00150257375952191,7.91805100571366e-4,Main,adjusted,1.6485745637679634,1.5600487831356593,1.7421237859241965,Overall [Ref: <7%],>=9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
historical_hba1c_groupUnavailable,0.34139716749639937,0.03053282267926372,11.18131694153054,0,4.983235107772766e-7,12866.06499941863,12882,7.433103520275532e-4,5.879902864658852e-4,10,5.883362224498618e-4,9.317051049015062e-4,Main,adjusted,1.4069119095930822,1.3251860107344648,1.4936779480925848,Overall [Ref: <7%],Unavailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.1974131070320266,1.120609761104132,1.2794803317431185,NH White,7-9%,Contrast 2,1.6252987664130957e-7,0.00114377019131966,0.1801634856927548,0.00114394897418396,1.562856983485427e-4,3695089.039446968,368471611.7676957,98512.25282043529,0.11387296671626096,0.2464540046692486,0.0338223147372259,"1.20 	 (1.12, 1.28)",historical_hba1c_group7-9,raceethNHWhite
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.5931100995467136,1.4802418397381023,1.7145845504048076,NH White,>=9%,Contrast 2,9.503100328578516e-7,0.00140459279815292,0.4656881431326486,0.00140563813918906,7.43677200411417e-4,164917.88423804168,16273222.975530129,97888.31670583534,0.3922054796552912,0.539170806610006,0.03749184096825686,"1.59 	 (1.48, 1.71)",historical_hba1c_group>=9,raceethNHWhite
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.3367360352197835,1.2360425893038456,1.4456324104992933,NH White,Unavailable,Contrast 2,3.996743943183155e-7,0.00159619357902838,0.2902308479769371,0.00159663322086213,2.753555594394777e-4,1192901.7760221837,118701118.37082665,98445.14910292212,0.21191481580742844,0.36854688014644577,0.03995789309838709,"1.34 	 (1.24, 1.45)",historical_hba1c_groupUnavailable,raceethNHWhite
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.2553625490635985,1.124050627096803,1.4020143680376564,NH Black,7-9%,Contrast 2,1.2930470527647806e-7,0.003177575731133,0.22742441458089557,0.0031777179663088,4.476016352368248e-5,44958210.21715753,4492201002.989202,98533.35589945152,0.11693879235821349,0.3379100368035777,0.05637125123951751,"1.26 	 (1.12, 1.40)",historical_hba1c_group7-9,raceethNHBlack
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.7069590896517923,1.5339477232837957,1.8994841150827209,NH Black,>=9%,Contrast 2,1.2100851862539453e-6,0.00297174548817274,0.5347134772988595,0.00297307658187762,4.4771591589433537e-4,452616.4562517291,44899080.03583389,98294.21552417058,0.4278446236706279,0.6415823309270912,0.05452592577735497,"1.71 	 (1.53, 1.90)",historical_hba1c_group>=9,raceethNHBlack
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.5454122717305285,1.3728547957229456,1.7396589188135037,NH Black,Unavailable,Contrast 2,5.83901801176682e-7,0.00364853645517557,0.4352907172976008,0.00364917874715687,1.7601000822301972e-4,2914356.107729123,290514479.56604034,98503.24325661076,0.31689236425431494,0.5536890703408867,0.06040843274872205,"1.55 	 (1.37, 1.74)",historical_hba1c_groupUnavailable,raceethNHBlack
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.1562546446047395,0.98215497930921,1.3612157259644972,Hispanic,7-9%,Contrast 2,6.61183526845737e-7,0.0069319750844788,0.14518602679188025,0.00693270238635833,1.0490885645999208e-4,8192905.02472967,817745575.914567,98531.78715218553,-0.01800616300946966,0.30837821659323017,0.08326285117841169,"1.16 	 (0.98, 1.36)",historical_hba1c_group7-9,raceethHispanic
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.6114434085485492,1.3773127574225892,1.8853741424815889,Hispanic,>=9%,Contrast 2,1.7105018784313249e-6,0.00641436253416347,0.47713030440482174,0.00641624408622975,2.9324820580198285e-4,1052110.056520557,104657843.60457304,98432.43478997808,0.3201343235299139,0.6341262852797296,0.08010146119909269,"1.61 	 (1.38, 1.89)",historical_hba1c_group>=9,raceethHispanic
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.3487939293071292,1.1306923129252606,1.6089656248118651,Hispanic,Unavailable,Contrast 2,1.3127093282356794e-6,0.00809708085473496,0.2992108074450711,0.00809852483499602,1.7830164017271382e-4,2840040.631465553,283094761.4612839,98502.14220769687,0.1228301114264102,0.475591503463732,0.08999180426569979,"1.35 	 (1.13, 1.61)",historical_hba1c_groupUnavailable,raceethHispanic
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.2466673456538564,1.0463557223155306,1.485326106192943,NH Other,7-9%,Contrast 2,1.7045649951360876e-7,0.00798667256537923,0.22047386740031327,0.0079868600675287,2.347632835427736e-5,163367499.27178705,16329848630.187172,98533.35589945152,0.04531338652461467,0.39563434827601185,0.0893692344575509,"1.25 	 (1.05, 1.49)",historical_hba1c_group7-9,raceethNHOther
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.9337866710244571,1.6168025964301895,2.312917419410711,NH Other,>=9%,Contrast 2,2.01931988436041e-6,0.00834137845773433,0.6594800864096004,0.00834359970960712,2.662222482028734e-4,1275946.5038203846,126985407.25110625,98451.37453835792,0.4804504930128313,0.8385096798063695,0.09134330686813966,"1.93 	 (1.62, 2.31)",historical_hba1c_group>=9,raceethNHOther
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.5812306368050826,1.30074320654275,1.9222013339716275,NH Other,Unavailable,Contrast 2,1.2879926266584952e-6,0.00992435586091398,0.45820342791995455,0.00992577265280331,1.427387004400311e-4,4428678.438981542,441732173.9220868,98517.95558031014,0.2629357984514008,0.6534710573885082,0.09962817198364785,"1.58 	 (1.30, 1.92)",historical_hba1c_groupUnavailable,raceethNHOther
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.119585611313559,1.006182755954547,1.245769651330597,NH Black,<7%,Contrast 2,2.5208917375551376e-6,0.00296619005186081,0.11295862694524487,0.00296896303277212,9.339897064065211e-4,104912.94833747412,10317116.384691613,97531.15782184558,0.00616372113707978,0.21975353275340995,0.05448819168197936,"1.12 	 (1.01, 1.25)",historical_hba1c_group<7,raceethNHBlack
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.2348956182019561,1.0667818276786245,1.429502404603951,Hispanic,<7%,Contrast 2,2.0128328877735215e-6,0.00557259127602595,0.2109864468334222,0.0055748053922025,3.971647476067531e-4,574645.9403470677,57055973.84855241,98345.05184931112,0.06464647875864798,0.35732641490819633,0.07466461941376588,"1.23 	 (1.07, 1.43)",historical_hba1c_group<7,raceethHispanic
NA,NA,NA,NA,NA,NA,NA,98556,NA,NA,NA,NA,NA,NA,NA,1.0100307815538203,0.8655310940725498,1.1786545702085542,NH Other,<7%,Contrast 2,1.4935383821436863e-6,0.00620358617486219,0.00998080717472092,0.00620522906708255,2.647593187289823e-4,1290052.072696029,128392601.78956924,98452.35507508511,-0.14441197887307336,0.1643735932225152,0.07877327635107323,"1.01 	 (0.87, 1.18)",historical_hba1c_group<7,raceethNHOther
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NH White,<7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
