iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,HR,lci,uci,exposure,modifier
Contrast 2,2.2643248665055695e-7,9.334382519006636e-4,0.15703892983300913,114881,9.336873276359792e-4,2.667656804834786e-4,1270765.7006617184,126468566.54830135,114744.15307170057,0.09714968631490449,0.21692817335111375,0.030556297675536203,"1.17 	 (1.10, 1.24)",1.102025319384631,1.2422548719287356,historical_hba1c_group7-9,raceethNHWhite
Contrast 2,9.198418596812512e-7,0.0011552032582091017,0.42610556220794576,114881,0.0011562150842547511,8.751192225636444e-4,119377.4596169084,11751899.327632446,113668.29159739,0.35946058078451953,0.492750543631372,0.03400316285663366,"1.53 	 (1.43, 1.64)",1.4325564576246674,1.636812157239898,historical_hba1c_group>=9,raceethNHWhite
Contrast 2,6.869512996182083e-7,0.0012964624181495655,0.255083375286947,114881,0.0012972180645791456,5.825130332464052e-4,268023.5778839662,26523523.422930088,114317.23777873408,0.18449151859408708,0.3256752319798069,0.03601691359041118,"1.29 	 (1.20, 1.38)",1.2026067814453512,1.3849655033212172,historical_hba1c_groupUnavailable,raceethNHWhite
Contrast 2,2.374008875302247e-7,0.0026883731955654414,0.20151316092568589,114881,0.0026886343365417247,9.712773980977333e-5,9556852.630793054,954016627.4615117,114852.8534171818,0.09988502449715365,0.30314129735421813,0.05185204274222689,"1.22 	 (1.11, 1.35)",1.1050438577981603,1.3541057824900005,historical_hba1c_group7-9,raceethNHBlack
Contrast 2,1.1506139894215906e-6,0.00250939540548093,0.5071060436395038,114881,0.0025106610808692934,5.041203681404586e-4,357360.0229926327,35413921.474901214,114450.01069074223,0.4088991100037443,0.6053129772752633,0.05010649739174844,"1.66 	 (1.51, 1.83)",1.5051598572525857,1.831825438911737,historical_hba1c_group>=9,raceethNHBlack
Contrast 2,1.097844574765412e-6,0.0030571222029940905,0.4181982015199404,114881,0.0030583298320263326,3.9486553072067584e-4,581333.528482957,57722357.59967093,114605.64028528616,0.30980794087568464,0.5265884621641962,0.055302168420653566,"1.52 	 (1.36, 1.69)",1.3631632810432097,1.6931462121226206,historical_hba1c_groupUnavailable,raceethNHBlack
Contrast 2,2.1051693473048728e-7,0.006155601832078495,0.1112766033145855,114881,0.006155833400706698,3.761775427141216e-5,63643022.76709391,6359995070.538233,114852.8534171818,-0.04250044479360546,0.2650536514227765,0.07845911929601745,"1.12 	 (0.96, 1.30)",0.9583900392350911,1.3035009085806906,historical_hba1c_group7-9,raceethHispanic
Contrast 2,9.769587515460882e-7,0.005701014762887223,0.44865365563180115,114881,0.005702089417513923,1.8846681418216693e-4,2542405.2950811884,253380232.7337974,114805.3078863742,0.3006525005735925,0.5966548106900098,0.07551218059037842,"1.57 	 (1.35, 1.82)",1.3507398786406426,1.8160336517196003,historical_hba1c_group>=9,raceethHispanic
Contrast 2,2.072879191641081e-6,0.0071808292694026865,0.27206481863306525,114881,0.007183109436513492,3.174345498920767e-4,898280.6917059087,89316998.74727988,114695.06020264953,0.1059515444712247,0.4381780927949058,0.08475322670266597,"1.31 	 (1.11, 1.55)",1.1117680038948243,1.549880905464373,historical_hba1c_groupUnavailable,raceethHispanic
Contrast 2,3.0758545115967977e-7,0.0069631241562881875,0.19299255225567835,114881,0.006963462500284463,4.858847107481747e-5,38155380.625230886,3812203209.2665224,114852.8534171818,0.029438724843182357,0.3565463796681744,0.0834473636508935,"1.21 	 (1.03, 1.43)",1.0298763277049594,1.4283877771335338,historical_hba1c_group7-9,raceethNHOther
Contrast 2,1.614489784568484e-6,0.007234732008069748,0.647407897244105,114881,0.007236507946832773,2.454137791422745e-4,1500931.874978257,149432348.863533,114762.60285036247,0.48067833257811743,0.8141374619100925,0.08506766687074928,"1.91 	 (1.62, 2.26)",1.6171710099989136,2.2572278874206115,historical_hba1c_group>=9,raceethNHOther
Contrast 2,2.5175354656308416e-6,0.00870110119514916,0.390537271591476,114881,0.008703870484161354,3.181675344587525e-4,894158.3599684004,88905941.28238212,114694.29525071687,0.20768333820216184,0.5733912049807901,0.09329453619672137,"1.48 	 (1.23, 1.77)",1.230823353096323,1.7742737867446874,historical_hba1c_groupUnavailable,raceethNHOther
Contrast 2,1.543156300124734e-6,0.0024276161809414355,0.11407432670495253,114881,0.0024293136528715726,6.987454782262098e-4,186659.32382426178,18433359.306080595,114088.21367393239,0.017471482100978944,0.2106771713089261,0.04928806805781266,"1.12 	 (1.02, 1.23)",1.01762500120993,1.2345137542655673,historical_hba1c_group<7,raceethNHBlack
Contrast 2,1.948716462781256e-6,0.004830471513472328,0.21170431161890024,114881,0.004832615101581388,4.4356690197775746e-4,461089.0803442244,45742957.91608002,114540.51373976338,0.07545346614843454,0.3479551570893659,0.06951701303696375,"1.24 	 (1.08, 1.42)",1.0783730456992384,1.4161687431877312,historical_hba1c_group<7,raceethHispanic
Contrast 2,1.482147028310787e-6,0.005277249023859705,0.01129165131374893,114881,0.005278879385590848,3.088461796630697e-4,948787.6792364083,94353505.96624202,114703.90685328034,-0.13111129212291311,0.15369459475041097,0.07265589711503705,"1.01 	 (0.88, 1.17)",0.8771201523950548,1.1661346887331647,historical_hba1c_group<7,raceethNHOther
